date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:20:30	3832/3832	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22463f6c421ceec5ec7cbd5bde3b823069%22	https://www.palomasouzaoff.com/robots.txt		(from )
19:20:31	31743/31743	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Jul%202025%2010:46:20%20GMT	https://www.palomasouzaoff.com/	C:/Users/Lucas/Site%20Paloma/www.palomasouzaoff.com/index.html	(from )
19:20:31	89782/89782	---MCZ	200	added ('OK')	text/css	etag:W/%2291fb11d0d4369dde5a37a7e6591c998b%22	https://cdn.prod.website-files.com/60c5f64abe141da7260da0b9/css/rachel-how.webflow.shared.91fb11d0d.min.css	C:/Users/Lucas/Site%20Paloma/cdn.prod.website-files.com/60c5f64abe141da7260da0b9/css/rachel-how.webflow.shared.91fb11d0d.min.css	(from https://www.palomasouzaoff.com/)
19:20:31	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/Lucas/Site%20Paloma/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.palomasouzaoff.com/)
19:20:32	616/616	---M--	200	added ('OK')	image/png	etag:%222a041aa15225fe4996db47c98c53c28a%22	https://cdn.prod.website-files.com/60c5f64abe141da7260da0b9/613ff53daf424e2d2aa775dc_Frame%206876.png	C:/Users/Lucas/Site%20Paloma/cdn.prod.website-files.com/60c5f64abe141da7260da0b9/613ff53daf424e2d2aa775dc_Frame%206876.png	(from https://www.palomasouzaoff.com/)
19:20:32	4615/4615	---M--	200	added ('OK')	image/png	etag:%226d1480f0cff22229535d30f74187ec14%22	https://cdn.prod.website-files.com/60c5f64abe141da7260da0b9/613ff547f536e40903b0d7f2_256.png	C:/Users/Lucas/Site%20Paloma/cdn.prod.website-files.com/60c5f64abe141da7260da0b9/613ff547f536e40903b0d7f2_256.png	(from https://www.palomasouzaoff.com/)
19:20:32	1017/1017	---MC-	200	added ('OK')	text/javascript	date:Tue,%2022%20Jul%202025%2022:20:34%20GMT	https://www.google.com/recaptcha/api.js	C:/Users/Lucas/Site%20Paloma/www.google.com/recaptcha/api.js	(from https://www.palomasouzaoff.com/)
19:20:33	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2022%20Jul%202025%2022:20:34%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Lucas/Site%20Paloma/www.googletagmanager.com/gtm.55445.delayed	(from https://www.palomasouzaoff.com/)
19:20:33	6019/6019	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2001%20Jul%202025%2015:19:54%20GMT	https://cdn.usefathom.com/script.js	C:/Users/Lucas/Site%20Paloma/cdn.usefathom.com/script.js	(from https://www.palomasouzaoff.com/)
19:20:33	57769/57769	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Jul%202025%2020:51:11%20GMT	https://www.palomasouzaoff.com/resources	C:/Users/Lucas/Site%20Paloma/www.palomasouzaoff.com/resources.html	(from https://www.palomasouzaoff.com/)
19:20:34	35595/35595	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2019:36:17%20GMT	https://www.palomasouzaoff.com/blog	C:/Users/Lucas/Site%20Paloma/www.palomasouzaoff.com/blog.html	(from https://www.palomasouzaoff.com/)
